5768.619,0.0004402896,47.97115,1,4,-1.179124,0
5765.83,0.001120548,47.99002,1,4,-0.326221,0
5765.875,0.001801047,48.0057,1,4,-1.161192,0
5772.131,0.002481767,48.02142,1,4,-0.6961926,0
5766.44,0.003162724,48.03817,1,4,0.6841564,0
5778.772,0.00384391,48.05458,1,4,-0.1362385,0
5770.582,0.004525343,48.07258,1,4,-0.3228951,0
5772.345,0.005206987,48.08396,1,4,0.278748,0
5772.666,0.005888778,48.09563,1,4,0.4328642,0
5779.431,0.006570734,48.10767,1,4,0.7326183,0
5784.646,0.007252858,48.12293,1,4,0.8201081,0
5791.959,0.007935195,48.14062,1,4,0.5544207,0
5786.071,0.00861777,48.16048,1,4,0.3283149,0
5786.038,0.009300599,48.17526,1,4,0.3367294,0
5784.633,0.009983614,48.18795,1,4,0.6336034,0
5788.318,0.01066681,48.2007,1,4,0.4420501,0
5788.304,0.01100848,48.20727,1,4,0.7681332,0
5798.867,0.0120338,48.23083,1,4,0.252215,0
5794.246,0.01271765,48.24753,1,4,0.1433198,0
5795.246,0.01340171,48.25998,1,4,0.2211222,0
5795.182,0.0137438,48.266,1,4,0.237429,0
5797.332,0.01477035,48.28411,1,4,0.1135144,0
5798.993,0.01511261,48.29025,1,4,-0.06419234,0
5800.906,0.01613968,48.30854,1,4,-0.6502637,0
5806.815,0.01682462,48.32113,1,4,-1.213978,0
5810.365,0.01750977,48.33621,1,4,-2.059124,0
5810.022,0.01819513,48.35056,1,4,-1.567444,0
5808.254,0.0188807,48.36369,1,4,-2.055329,0
5820.323,0.01956645,48.3762,1,4,-3.170175,0
5813.339,0.02025242,48.39312,1,4,-2.765324,0
5815.936,0.02093861,48.40611,1,4,-2.542096,0
5814.909,0.02162498,48.41891,1,4,-2.33477,0
5820.303,0.02231153,48.43209,1,4,-1.976295,0
5820.355,0.02299828,48.44613,1,4,-2.016891,0
5821.041,0.02368522,48.45923,1,4,-1.47538,0
5822.401,0.02437234,48.47191,1,4,-1.146401,0
